created_at,text,translate,actual_label,SVM_label,sentiment_score
2025-02-01 05:39:54+00:00,bbri mau buyback saham dana triliun,BBR wants to buy back trillions of funds in shares,positif,positif,0.7230144056
2025-02-02 01:11:40+00:00,buat ahli saham sisa uang sekian juta kira saham apa profitable antara saham ikut bbri bbca bmri tuju mau average down saham beli tahun lalu mahal advise please,"For stock experts, what shares are profitable between BBR, BBCA, BMRI, and other stocks? I want to average down the shares I bought last year. They were expensive, please advise.",netral,negatif,-0.3984775466
2025-02-02 10:22:36+00:00,bbri umum rencana buyback saham nila rp triliun rencana bahas rupst maret kira periode buyback maret maret buka informasi,bbri general plan share buyback worth rp trillion plan to discuss rupst march approximately buyback period march march open information,positif,positif,0.7070772026
2025-02-02 17:39:54+00:00,bbkp cut bang lai tinggal avg down kalo modal bbca bbri cicil tiap bulan unv biar wkwk,"BBKP cut, bro, just average down if you have BBCA capital, BRI installments every month, UNV, so that wkwk",positif,negatif,-0.3947588617
2025-02-03 01:11:07+00:00,bri bbri siap rp t buyback,BRI BBR ready for Rp t buyback,positif,positif,0.9563289589
2025-02-03 01:21:29+00:00,bagaimana view bijak trump,what is Trump's wise view?,netral,negatif,-0.2777413879
2025-02-03 02:48:02+00:00,siap siap pahlawan pahlawan saham bakal hype kata beli pakai time trading aci lah paling enggak buat alas,"Get ready, stock heroes will be hyped, the word buy using time trading is aci lah, at least for the base",positif,negatif,-0.4563799521
2025-02-03 02:51:43+00:00,investor siapsiap bbri mau buyback saham rp triliun,"Investors are getting ready, BRI wants to buy back Rp trillion in shares",positif,positif,0.9133533662
2025-02-03 03:54:08+00:00,imbas hampir umum kena semua sih korelasi prospek pasar saham kamu baca sini bbca bbri ratu,"The impact is almost universal, all of which are affected by the correlation of stock market prospects. You can read it here, BBCA, BBR Ratu.",negatif,negatif,-0.4827782765
2025-02-03 04:15:12+00:00,aku nawar agro rejek mulu nawar bbri malah aplikasi langsung hilang signal,"I always bid on Agro Rejeki, but I bid on Bbri, but the application immediately lost its signal.",negatif,negatif,-0.5594442462
2025-02-03 07:32:27+00:00,ihsg hari buka kuat tengah sentimen positif aksi net buy asing capai rp triliun sektor energi uang tunjuk performa solid bbri tlkm masingmasing naik,"JCI opens strong amid positive sentiment, foreign net buys reach Rp trillion, energy sector shows solid performance, BRI, TLKM each rose",positif,positif,0.9555555944
2025-02-03 09:42:44+00:00,market update feb ihsg tutup kuat level dorong sektor uang properti investor asing catat net buy rp triliun bijak suku bunga tetap top gainers hari bbri tlkm bmri,"Market update Feb. IHSG closes strong, boosting property sector; foreign investors record net buy of Rp trillion; wisely, interest rates remain; top gainers today: BBR, TLKM, BMRI",positif,positif,0.9138814377
2025-02-03 12:57:38+00:00,nice choice bbri memang koreksi besar panen years later,nice choice bbri is indeed a big correction for the harvest years later,positif,negatif,-0.5837672382
2025-02-03 14:28:03+00:00,saham bbri jeblok bbca sih lebih aman,"Bbri shares have plummeted, BBCA is safer",negatif,negatif,-0.3799871938
2025-02-03 14:37:33+00:00,mending bbri nya bikin biru biar uptrend saham,It's better if the BRI turns blue so the stock uptrend,positif,negatif,-0.4475814216
2025-02-03 15:13:12+00:00,siapa mau jadi pacar aku bbri aku lembar saham merah cokk bbri wkwkwkwkwk bbca aadi adro kamu tinggal pilih hadiah anniv,"Who wants to be my girlfriend, give me a red stock card, come on, give me a red stock card, wkwkwkwkwk, bbca, aadi, adro, you just have to choose your anniversary gift",negatif,negatif,-0.5234800074
2025-02-03 19:01:44+00:00,bbri merah,red bbri,negatif,negatif,-0.8444149624
2025-02-04 04:58:50+00:00,pasar saham indonesia tunjuk gera positif investor asing catat net buy signifikan turun suku bunga bi sektor uang jadi dorong utama sahamsaham bbri bmri alami naik substansial,"The Indonesian stock market shows positive movement, foreign investors recorded a significant net buy, the BI interest rate fell, the money sector became the main driver of BRI shares, BMRI experienced a substantial increase",positif,positif,0.9741227925
2025-02-04 05:24:46+00:00,sektor uang tunjuk performa positif putus bi tahan suku bunga bbri bmri catat naik signifikan investor asing agresif laku beli tanda percaya tingkat pasar saham indonesia,"The money sector shows positive performance, BI maintains interest rates, BBR, BMRI records significant increases, aggressive foreign investors buy, a sign of confidence in the Indonesian stock market.",positif,positif,0.9623961497
2025-02-04 06:27:34+00:00,sahamsaham sektor uang tunjuk performa positif putus bi tahan suku bunga bbri bmri masingmasing naik sektor properti alami rebound dorong sentimen pasar stabil,"Money sector stocks show positive performance, BI maintains interest rates, BBR, BMRI each rises, property sector rebounds, driving stable market sentiment",positif,positif,0.905351291
2025-02-04 06:56:05+00:00,pilih,choose,netral,negatif,-0.5497208058
2025-02-04 07:58:19+00:00,analis beri saran buy saham bbri tengah sentimen buyback rp t,Analysts advise buying BBR shares amidst buyback sentiment at Rp t,positif,positif,0.8432535823
2025-02-04 19:25:03+00:00,harga saham bbri terus turun valuasi makin tarik,"BBR share prices continue to fall, valuations are becoming more attractive",positif,negatif,-0.7483463303
2025-02-04 23:32:13+00:00,huhu kak padahal bbri naik bakalanya untung kok,"huhu sis, even though BBR is going up, it will be profitable",positif,negatif,-0.3373777064
2025-02-05 06:09:31+00:00,sahamsaham sektor uang tunjuk performa positif bank indonesia tahan suku bunga bbri bmri masingmasing naik investor asing catat net buy besar rp triliun tanda percaya pasar mulai pulih,"Money sector stocks show positive performance, Bank Indonesia maintains interest rates, BBR, BMRI each rose, foreign investors recorded a large net buy of Rp trillion, a sign of confidence in the market starting to recover.",positif,positif,0.9755369632
2025-02-05 06:20:03+00:00,berita kini tunjuk ihsg alami kuat periode jual bersih investor asing sektor uang pimpin sahamsaham bbri bmri catat naik signifikan,"Current news shows that the JCI experienced a strong net selling period, foreign investors in the money sector led BBR shares to record a significant increase.",positif,positif,0.9448212875
2025-02-05 06:24:16+00:00,saham bri paling buru alas meski pasar sedang gejolak,BRI shares are the most sought after even though the market is in turmoil,positif,positif,0.5648241124
2025-02-05 06:25:15+00:00,ihsg hari tunjuk gera positif net buy asing capai rp triliun dorong turun suku bunga bi sektor uang jadi dorong utama bbri bmri masingmasing naik,"JCI today showed positive movement, foreign net buy reached Rp trillion, pushing down BI interest rates, money sector became the main driver for BBR, BMRI, each rose",positif,positif,0.9382490308
2025-02-05 11:40:52+00:00,ekonomi anjlok banget gambling banget mau dibelanjain logam mulia tunggu serok bbri anjlok under,"The economy has really dropped, gambling really wants to spend precious metals, waiting for the BRI balance to drop below",negatif,negatif,-0.6943807802
2025-02-05 11:44:16+00:00,cowonya buru top up bbri pas murah lumayan banding beli ip,"The guy rushed to top up his BBR when it was cheap, it was quite good compared to buying an IP.",positif,positif,0.5956526541
2025-02-05 13:38:50+00:00,aku pertama kali beli bbri star,I first bought Bbri Star,positif,negatif,-0.1882494178
2025-02-05 14:35:57+00:00,bentar dulu beli harga berapa saham bbri wkkwkwk,"Hang on, how much did you buy BRI shares for? Hahahaha",netral,negatif,-0.5076554164
2025-02-06 00:59:42+00:00,trading idea februari bbri buy on weakness area beli cutloss break bawah break bawah potensi naik short term,"February trading idea, BBR, buy on weakness area, buy cut loss, break below, break below, potential for short-term increase",positif,positif,0.8695464448
2025-02-06 02:29:14+00:00,positif naik sih bbri banyak cuannya,"positive, bbri has a lot of profit",positif,positif,0.7439489651
2025-02-06 04:03:43+00:00,bbri memang tahi kayak saham goreng,BBRI really is shit like fried stock,negatif,negatif,-0.8807341358
2025-02-06 13:33:58+00:00,kalo hari paksu pulang bawa emosi maklum mungkin porto merah bara,"If the day comes when the husband comes home with emotions, you know, maybe Porto will be red hot",negatif,negatif,-0.6070846085
2025-02-06 16:11:18+00:00,gilir bos bbca bbri beri komentar via,It's the BBCA and BBR boss's turn to comment via,netral,netral,0
2025-02-06 16:49:24+00:00,bbri nih gue tengsin anjlok ribu,bbri nih I'm so nervous it's plummeted thousands,negatif,negatif,-0.7636398103
2025-02-07 01:22:07+00:00,ihsg bakar asing pilih koleksi saham bris bbri,IHSG burns foreigners choose BRI BBR stock collection,positif,negatif,-0.5686593181
2025-02-07 01:44:02+00:00,bbri bmri biar merah penting ijo porto wifi harga,bbri bmri let red important green porto wifi price,negatif,negatif,-0.7761937064
2025-02-07 01:59:20+00:00,bilang selamatin saham bmri bbri lebih penting selamat saham bumn kan,"say save BMRI shares, BBR is more important to save BUMN shares, right?",negatif,negatif,-0.2864145727
2025-02-07 03:25:39+00:00,prospek saham bank bbri bbni rencana buyback saham,"BRI Bank stock prospects, BNI share buyback plan",positif,positif,0.8788770038
2025-02-07 03:55:05+00:00,bagaimana ihsg hari serok bmri bbri ngumpulin modal buat beli wah keburu naik wkwkwkwkw,"How did the IHSG today scoop up BMRI BBR to collect capital to buy, wow, it suddenly went up hahahahaha",positif,positif,0.5416245882
2025-02-07 06:40:08+00:00,bbca bbri naik turun malah via,BBCA and BBR are going up and down even via,positif,negatif,-0.5648708774
2025-02-07 12:29:31+00:00,asing balik arah serok bbri harga bakal begini via,"foreigners turn around to scoop up BBR, the price will be like this via",positif,positif,0.5870626522
2025-02-07 13:15:45+00:00,sempat heran lewat mulu nyata ads bbri pasang ads merah banget kok wkwkwkk,"I was surprised when the BBR ads were really red, hahaha",negatif,negatif,-0.6665100047
2025-02-08 03:30:52+00:00,makin rontok bbri,more and more hair loss,negatif,negatif,-0.6737803018
2025-02-08 06:56:05+00:00,ketidakpastian sangat tingkat periode awal perintah baru makanya orang takut wkwk lebih percaya bbri bbca orisinal walaupun beda banget sih wkwkwk,"The uncertainty is very high at the initial level of the new order period, that's why people are afraid, haha, they trust the original BBCA more, even though it's very different, haha",positif,negatif,-0.6337072451
2025-02-08 08:13:42+00:00,kiri pusing pikir kapan eth kanan pusing pikir kapan bbri choose your side kalian tim kanan kiri sc algo research,left dizzy thinking when eth right dizzy thinking when bbri choose your side you right left sc algo research team,netral,negatif,-0.5976057174
2025-02-09 11:49:02+00:00,orang orang tuh enggak pernah ajar basic saham kasih saham dikit kira wah padahal lembar saham bbri cuma lembar arti juta mulai henti glorifikasi kasih saham bahkan enggak ngampe milik,"These people never teach the basics of shares, they give a small amount of shares, they think it's 'wow', even though the BRI share sheet is only a sheet, meaning millions, they start to stop glorifying the shares, they don't even get theirs.",negatif,negatif,-0.5453866716
2025-02-09 16:26:52+00:00,bbri cuman lot gede gaji gue mah wkwkwkwkwk,"bbri is just a big lot, my salary is hahahaha ...",negatif,positif,0.4659867408
2025-02-10 03:20:44+00:00,konsisten longsor bbri amp tlkm kadang rasa mau evakuasi benam,consistent landslides bbri amp tlkm sometimes feel like evacuating benam,negatif,netral,0
2025-02-10 04:41:16+00:00,big bang bbni bmri bbri whoahh discount,Big Bang BBNI BMRI BBR Whoahh Discount,positif,netral,0
2025-02-10 06:33:10+00:00,bbri berapa via,how much via bbri,netral,netral,0
2025-02-10 12:42:11+00:00,bbri bbca,bbri bbca,netral,netral,0
2025-02-10 13:17:16+00:00,apa biasa gue cuan luber bmri bbri awal tahun malah darah weekly chart ihsg jelek noh,"Is it normal for me to make a lot of money from BMRI BBR at the beginning of the year, but the weekly blood chart of the IHSG is bad, huh?",negatif,negatif,-0.6578094157
2025-02-10 13:38:21+00:00,bbri longsor parah bangsat,"bbri landslide, damn it",negatif,negatif,-0.6388683598
2025-02-10 14:37:35+00:00,masuk,enter,netral,netral,0
2025-02-10 14:53:21+00:00,sunarso benar tahu saham bbri mainin sama asing sunarso apa,"Sunarso really knows what foreigners are playing with BBR shares, Sunarso?",negatif,negatif,-0.3176467466
2025-02-11 00:47:13+00:00,kalo nilai sekarang ltjuta turun punya bbri,if the current value is ltjuta it will go down to bbri,negatif,negatif,-0.6016635539
2025-02-11 04:34:35+00:00,bbri avg enggak berani lihat market dulu,bbri avg doesn't dare to look at the market first,netral,negatif,-0.7407329981
2025-02-11 05:05:30+00:00,semua mulai outflow bbri jp morgan mulai downgradein saham otomatis mentrigger fund etf ikut jual mulai september,"All BRI outflows started, JP Morgan started downgrading shares automatically, triggering ETF funds to sell starting in September",negatif,negatif,-0.5831839008
2025-02-11 05:18:18+00:00,saham bbri kapan rebound gila sih ihsg parah banget hari,When will BRI shares rebound? The JCI is really bad today.,negatif,negatif,-0.8463939812
2025-02-11 08:34:19+00:00,bmri kin kalo lu lihat pagi nyentuh anjir mau ngejar bbri cok,bmri kin if you see it in the morning touching the anjir it wants to chase bbri cok,netral,negatif,-0.7416847251
2025-02-11 09:38:16+00:00,maaf kak bbri merosottttttt sedih,sorry sis bbri is slumping sadly,negatif,negatif,-0.2941780263
2025-02-11 10:46:02+00:00,we belik kalian bbri,we buy you bbri,negatif,negatif,-0.2759201079
2025-02-11 13:57:00+00:00,hancur semenjak bbri jadi enggak asa sekarang,destroyed since bbri so hopeless now,negatif,negatif,-0.7160836888
2025-02-11 13:59:28+00:00,loh nder kok tuh bbri duluan,"Oh, why did Bbri come first?",netral,negatif,-0.411685712
2025-02-11 15:51:52+00:00,bongkar kasus saham bbri kemarin turun via,uncover the case of yesterday's BRI stock drop via,negatif,negatif,-0.6530165039
2025-02-11 20:00:07+00:00,yakan lembar lot tanya nya simple beli bawah lembar pasar regulermarket saham enggak bisa jadi lot memang itungannya dikit imingan lembar saham bbri jadi kesan wah,"Yes, the lot sheet is asked simply to buy the regular market sheet, the stock market can't be a lot, the calculation is indeed a little bit, the lure of the BBR stock sheet makes it look great",negatif,netral,0
2025-02-11 23:55:08+00:00,bri bbri cetak laba rp t panjang,bri bbri prints profit of rp t long,positif,positif,0.8497820314
2025-02-12 05:12:48+00:00,saham bank big caps koreksi bos bbri fokus jaga via,"Big cap bank shares corrected, BBR boss focuses on maintaining via",netral,netral,0
2025-02-12 06:55:05+00:00,msci bbca bbri bmri tlkm asi bbni ammn adro amrt goto tpia cpin indf klbf icbp brpt untr,msci bbca bbri bmri tlkm asi bbni ammn adro amrt goto tpia cpin indf klbf icbp brpt untr,netral,netral,0
2025-02-12 07:31:23+00:00,ekonomi stabil saham bbri ribu,"stable economy, thousands of BRI shares",netral,netral,0
2025-02-12 10:46:57+00:00,bbri bmri bang,bbri bmri bang,netral,netral,0
2025-02-12 10:51:27+00:00,bbri bmri bbca,bbri bmri bbca,netral,netral,0
2025-02-12 12:10:42+00:00,orang dewa bbri banget deviden kali taun,god people are very generous with dividends this year,negatif,negatif,-0.2694172481
2025-02-12 15:21:34+00:00,jangan lupa borong bbri min,"don't forget to buy BBR, min",positif,negatif,-0.5393691414
2025-02-12 23:31:22+00:00,kejut inflasi as naik mom inflasi tahun naik pasar guncang,inflation shock as rising mom inflation year rising market shakes,negatif,positif,0.8132044958
2025-02-12 23:56:31+00:00,update kerja emiten fy bbca laba rp triliun bbri laba rp triliun,"Issuer work update FY BBCA profit of Rp trillion, BRI profit of Rp trillion",positif,positif,0.7706093607
2025-02-13 00:16:53+00:00,bikin harga saham bbri turun plus pak pres kasih statement trading saham judi,make the price of BRI shares fall plus the president gives a statement about trading gambling shares,negatif,negatif,-0.5572371242
2025-02-13 00:41:22+00:00,gede begini potensi dividen bbri via,This is how big the potential dividends are for BBR via,positif,positif,0.6023706736
2025-02-13 07:47:45+00:00,saham bbri lembar lot harga pas beli kisar an lah arti asih idr juta an sekarang arti floating loss sisa juta jangan lupa averaging down,"Bbri shares sheet lot price when buying, the price is around IDR million, now the meaning of floating loss is the remaining million, don't forget to average down",negatif,negatif,-0.4348220404
2025-02-13 09:00:01+00:00,laba naik tipis bocor dividen saham bbri,"profit increased slightly, BBR stock dividend leaked",netral,positif,0.7081445829
2025-02-13 13:43:44+00:00,bbca bbri diskon,BBCA BBR discount,positif,positif,0.4897076295
2025-02-14 01:46:24+00:00,bbri target kredit umkm tumbuh kredit umkm bbri capai rp t bank optimistis tetap tumbuh stabil tahun depan sinyal positif investor,Bbri targets growth in MSME credit. Bbri's MSME credit reaches Rp 1 trillion. The bank is optimistic that stable growth will continue next year. This is a positive signal from investors.,positif,positif,0.8142065553
2025-02-14 03:49:32+00:00,stop bandar main bbri,stop the dealer playing bbri,negatif,negatif,-0.4492138777
2025-02-14 04:50:46+00:00,bbri rebound enggak sih ambles supportnya mulu asa aowkwk,"Is BBR rebounding or not? The support is always falling, aowkwk",negatif,negatif,-0.6150625102
2025-02-14 04:57:45+00:00,kemarin tlkm hari bbri investor hilang trust satu per satu mulai lepas lembar saham milik,"Yesterday, BRI investors lost trust one by one, starting to sell off their shares.",negatif,negatif,-0.3275164608
2025-02-14 04:59:48+00:00,bbri jebolll bawah sikaatt dong,bbri broke down sikaatt dong,positif,negatif,-0.2517622861
2025-02-14 05:53:06+00:00,bbri kalo jebol mending jual terigu kocak,"If bbri breaks, it's better to sell flour, funny",negatif,negatif,-0.8840606076
2025-02-14 07:00:43+00:00,bbri mau dibuyback banting dulu,"bbri wants to be bought back, slam it first",negatif,negatif,-0.8346528441
2025-02-14 08:57:35+00:00,bbri r lu,bbri r lu,netral,negatif,-0.4502408361
2025-02-14 11:57:03+00:00,fundamental sama teknikal gangaruh sama bbri,fundamental and technical influence on BBR,negatif,negatif,-0.2865548884
2025-02-14 14:03:02+00:00,bbri apakahh terjun payung bawah,bbri whether parachuting down,netral,negatif,-0.8238316275
2025-02-14 15:27:43+00:00,bbri diskon,bbri discount,positif,positif,0.8111154127
2025-02-14 17:04:29+00:00,lu mah mending gue nabung tiap bulan kubeliin saham bbri malah turun terus saham ngentod,"You're better off saving up every month I buy BRI shares, but instead the shares go down and keep going down",negatif,negatif,-0.7979773041
2025-02-15 03:09:21+00:00,empat bank kapital jumbo lapor kerja panjang pt bank rakyat indonesia tbk bbri tempat posisi pertama bank milik laba konsolidasi paling besar besar rp triliun baca lengkap,"four jumbo capital banks report long-term work of PT Bank Rakyat Indonesia Tbk BBR, the first position of the bank with the largest consolidated profit of Rp trillion, read in full",positif,positif,0.7902274832
2025-02-15 20:02:59+00:00,bingung banget makin hari makin terjun padahal mau plan lm nyangkut bbri sama bnga,"I'm really confused, I'm getting more and more confused every day, even though I want to plan my next trip, I'm still stuck with my sister and my brother.",negatif,negatif,-0.9767226657
2025-02-16 09:48:06+00:00,tadi mau serok stock bbri cuma ngeringeri mental siap jadi kaya serok rdo bismillah mau coba naro bahana,"I was going to take out BRI stock, I was just mentally cringing, ready to be rich, Bismillah, I want to try naro Bahana.",negatif,positif,0.8234147552
2025-02-16 15:47:12+00:00,bang saham kayak bbca bbri bmri kan,"Bro, shares are like BBCA, BRI, BMRI, right?",netral,netral,0
2025-02-17 00:02:55+00:00,kerja bbri ku lebih baik banding ku lihat dasar turun ckpn posisi ku nya turun banding posisi ku nya,My bbri work is better than I see the basis of going down when my position goes down compared to my position,positif,negatif,-0.7557280855
2025-02-17 01:50:55+00:00,target bbri jangka panjang,long-term bbri targets,netral,netral,0
2025-02-17 07:20:03+00:00,pantau bmri bbni bbri justru tingkat lumayan signifikan hari,monitor bmri bbni bbri precisely the level is quite significant today,positif,positif,0.5460970068
2025-02-17 08:16:56+00:00,gue sesal sell kemarin pas koreksi pengin masuk pas takuk makin dalem akhir pel perban bnga bmri sama bbri,"I regret selling yesterday when I was correcting it, I wanted to go in when the notch got deeper and deeper, finally the bandage was on, BMRI and BBR",positif,negatif,-0.8740176751
2025-02-17 10:50:53+00:00,gajadi jual terigu nih bbri close tudey sent kali,gajadi jual tepung nih bbri close tudey sent kali,positif,negatif,-0.5107439525
2025-02-17 14:07:54+00:00,apa tarik bbri nya ganti bluechip,What about pulling BBR to replace blue chip?,negatif,netral,0
2025-02-17 14:35:49+00:00,weekly mesti mantul bbri,weekly must bounce bbri,positif,negatif,-0.3291792051
2025-02-17 14:40:26+00:00,cl bbri enggak sih,cl bbri no,netral,negatif,-0.8098746469
2025-02-17 14:52:55+00:00,danantara mulai rame dengar gaung bulan november jujur degan haha takut bbri sama ptba enggak dividen terus kalo jepang cuma bni datang kantor jadi wni kayak enggak hari waswas,"Danantara is starting to get busy hearing the echo of November, honestly haha, I'm afraid BRI and PTBA won't get dividends, and if Japan only comes to the office, it will be like being an Indonesian citizen, not having a day of anxiety.",netral,negatif,-0.4835262839
2025-02-17 16:04:20+00:00,tanya sama grok nyata saham bbri rontok black rock lepas saham bbri,ask real grok bbri shares fall black rock releases bbri shares,negatif,netral,0
2025-02-17 16:13:41+00:00,simpan bmri bbri mending buru ngungsi bbca,save bmri bbri better hurry up and evacuate bbc,negatif,negatif,-0.2754707034
2025-02-18 01:10:19+00:00,kerja btps posisi ku jauh lebih baik banding ku nya turun ckpn cukup signifikan kondisi mirip bbri kata faktor event pilkada konfirmasi mampu buat daya beli masyarakat naik,"My position at BTPS is much better than mine, but the CKPN has dropped significantly. Conditions similar to BBR said that the regional election event factor was confirmed to be able to increase people's purchasing power.",positif,negatif,-0.49586614
2025-02-18 02:08:53+00:00,bbri borong kata gin via,bbri wholesale word gin via,positif,netral,0
2025-02-18 03:16:16+00:00,saham bbri potensi bentuk pattern double bottom konfirmasi breakout channel,"Bbri shares have the potential to form a double bottom pattern, confirming a channel breakout",positif,negatif,-0.3309040688
2025-02-18 03:20:32+00:00,iseng mantengin running trade kok bbri bbni bbca tebal banget belanja lot jumbo mantap sektor bank,"Just for fun, keep an eye on running trade, why is BBR, BNI, BBCA so thick? Buying jumbo lots is great, banking sector",positif,positif,0.4970824492
2025-02-18 07:30:00+00:00,strategi bri bbri jaga tumbuh bisnis tengah ketidakpastian global,BRI's strategy to maintain business growth amidst global uncertainty,netral,positif,0.6775762374
2025-02-18 08:13:12+00:00,dirut bri bbri sunarso sebut bahaya panas global pamer realisasi kredit lanjut,"BRI CEO Sunarso mentions the danger of global warming, shows off continued credit realization",netral,negatif,-0.2150408414
2025-02-18 10:53:10+00:00,bbri sesuai target semua,bbri meets all targets,netral,netral,0
2025-02-18 13:10:39+00:00,jangan mudah pengaruh fundamental bbri tetap solid tengah bagai isu,"Don't be easily influenced by the fundamentals of BBR, which remain solid amidst issues.",positif,positif,0.7481111887
